#misspelt	corrected	error-category
ازتش	ارتش	1
ازتل‌آويو	از تل‌آويو	2
ازث	ارث	1
ازجعبه	از جعبه	2
ازجمله	از جمله	2
ازحالت	از حالت	0
ازحضور	از حضور	2
ازحمله	از حمله	2
ازحوادث	از حوادث	2
ازخداوند	از خداوند	2
ازدانه	از دانه	2
ازدست	از دست	2
ازدشمنان	از دشمنان	2
ازديگران	از ديگران	2
ازذياد	ازدياد	1
ازر	از	1
ازراه	از راه	2
ازرتباط	ارتباط	1
ازرش	ارزش	3
ازروشها	از روشها	2
ازريابي	ارزيابي	3
اززير	از زير	2
ازسنبله	از سنبله	1
ازعبور	از عبور	1
ازعمليات	از عمليات	2
ازقبل	از قبل	2
ازقبولي	از قبولي	2
ازقسمتهاي	از قسمتهاي	2
ازكار	از كار	0
ازكاشت	از كاشت	2
ازكشورها	از كشورها	2
ازمايش	آزمايش	1
ازمايشي	آزمايشي	1
ازمجموع	از مجموع	2
ازمراحل	از مراحل	2
ازمسلمانان	از مسلمانان	2
ازمنابع	از منابع	2
ازمهاجرت	از مهاجرت	2
ازميان	از ميان	2
ازنفوذ	از نفوذ	2
ازنقاط	از نقاط	2
ازهم	از هم	2
ازهمه	از همه	2
ازواحدهاي	از واحدهاي	2
ازوي	از وي	2
ازويدئوي	از ويدئوي	2
ازيتي	اذيتي	1
ازيك	از يك	2
ازيكي	از يكي	2
ازپاي	از پاي	2
ازپرداخت	از پرداخت	2
ازپيش	از پيش	2
ازچ	از	1
اساره‌	اشاره‌	1
اساعه	اشاعه	1
اسالامي	اسلامي	1
اسالم	اسلام	3
اسان	آسان	1
اساييل	اسراييل	1
استات	استان	1
استافده	استفاده	3
استانبیول	استانبول	1
استاندارداي	استانداردهاي	1
استانیول	استانبول	1
استباها	اشتباها	1
استبراي	است براي	2
استبلا	استیلا	1
استخاج	استخراج	1
استراتزي	استراتژي	1
استراتزيك	استراتژيك	1
استراهت	استراحت	1
استربل	استریل	1
استعمالسان	استعمالشان	1
استفادهاز	"	2
استفادهاز	استفاده از	2
استفادهمي	استفاده مي	2
استفاذه	استفاده	1
استفاه	استفاده	1
استفاهده	استفاده	1
استفده	استفاده	1
استفلال	استقلال	1
استفند	اسفند	1
استقاد	استفاده	0
استقامد	استقامت	1
استكه	است كه	2
استنادبه	استناد به	2
استنانبول	استانبول	1
استناندارد	استاندارد	1
استهخراج	استخراج	1
استو	است و	2
استولنه‌اي	استوانه‌اي	1
استژاتژيك	استراتژيك	1
استگاه	ایستگاه	1
اسخاصي	اشخاصي	1
اسدر	است در	0
اسر اييلي	اسراييلي	0
اسراييلنداشت	اسراييل نداشت	2
اسراييلياز	اسراييلي از	2
اسريل	استريل	1
اسرييل	اسراييل	1
اسشغال	اشغال	1
اسطخراج	استخراج	1
اسكتر	اسكنر	1
اسكنس	اسكناس	1
اسكه	اسکله	1
اسلاس	اساس	1
اسلامگراي	اسلام گراي	3
اسلامیى	اسلامی	1
اسلام‌گرايبي	اسلام‌گرايي	1
اسلام‌گريان	اسلام‌گرايان	1
اسلانگراي	اسلام گراي	0
اسللام	اسلام	1
اسلي	اصلي	1
اسمبت	اسمیت	1
اسن	است	1
اسن	اسم	1
اسناندارد	استاندارد	1
اسيا	آسیا	1
اسياي	آسياي	1
اسپانبيا	اسپانيا	1
اسپرنيلگر	اسپرنيلکر	1
اسگالد	اسکالد	1
اسگلت	اسکلت	1
اسیكن	اسكن	1
اسیوريدي	اسپوريدي	1
اشاررد	اشاره دارد	0
اشارهش ده	اشاره شده	0
اشت	است	1
اشتبا	اشتباه	1
اشتفاده	استفاده	1
اشتقلال	استقلال	1
اشرايط	شرایط	1
اشزاف	اشراف	1
اشفته	آشفته	1
اشكنرهاي	اسكنرهاي	1
اشلامي	اسلامي	1
اشوبي	آشوبي	1
اشيباء	اشياء	1
اصافه	اضافه	1
اصظلاح	اصطلاح	1
اصليترين	اصلي ترين	2
اضاقى	اضافى	1
اضاقي	اضافي	1
اضطرار ي	اضطراري	0
اضعاا	اعضا	0
اضل	اصل	1
اضهار	اظهار	1
اطاعاتي	اطلاعاتي	1
اطافيان	اطرافيان	1
اطاللعت	اطاعت	0
اطريشي	اتريشي	1
اطلاات	اطلاعات	1
اطلاعاتا	اطلاعات	1
اطلاعاتیي	اطلاعاتي	1
اطلاعتاتي	اطلاعاتي	1
اطلاعلات	اطلاعات	1
اطلاعلت	اطلاعات	1
اطلاع‌رساتي	اطلاع‌رساني	1
اطلاغات	اطلاعات	1
اطللاعات	اطلاعات	1
اطمينانحاصل	اطمينان حاصل	2
اطمينیان	اطمينان	1
اطهار	اظهار	1
اطينان	اطمينان	1
اعاب	اعراب	1
اعام	اعلام	1
اعتباارت	اعتبارات	1
اعتبارت	اعتبارات	1
اعتبارسمجي	اعتبارسنجي	1
اعتراصات	اعتراضات	1
اعتزاض	اعتراض	1
اعتقادت	اعتقادات	1
اعتمادآن	اعتماد آن	2
اعتمادذ	اعتماد	1
اعتمادكننده	اعتماد كننده	2
اعتناد	اعتماد	1
اعغضاي	اعضاي	1
اعقادي	اعتقادي	1
اعلا م	اعلام	0
اعلا ممي	اعلام مي	0
اعلای	اعلاء	1
اعلب	اغلب	1
اعللام	اعلام	1
اعنال	اعمال	1
اعنبار	اعتبار	1
اعوض	عوض	1
اغاز	آغاز	1
اغتقادات	اعتقادات	1
اغراب	اعراب	1
اغفزايش	افزايش	1
اغلاق	اخلاق	1
اغلام	اعلام	1
اغمال	اعمال	1
اغوش	آغوش	1
افاد	افتاد	1
افتتاخ	افتتاح	1
افتحار	افتخار	1
افتنخار	افتخار	1
افدام	اقدام	1
افرا	افراد	1
افراظ	افراط	1
افزازيش	افزايش	1
افزايیش	افزایش	1
افزو	افزود	1
افصران	افسران	1
افضا	افزا	1
افغانسنان	افغانستان	1
افغانشتان	افغانستان	1
افوزد	افزود	3
افژایی	افزایی	1
اقا	آقا	1
اقاي	آقاي	1
اقبت	عاقبت	1
اقتتاح	افتتاح	1
اقتثاد	اقتصاد	1
اقتثادي	اقتصادي	1
اقتصا دي	اقتصادي	0
اقتصاد ي	اقتصادي	0
اقتصادمبتني	اقتصاد مبتني	2
اقتصاديتركيه	اقتصادي تركيه	2
اقتصادیي	اقتصادي	1
اقتصاي	اقتصادي	1
اقتصايى	اقتضايى	1
اقد ام	اقدام	0
اقدا	اقدام	1
اقدمات	اقدامات	1
اقرا	اقراء	1
اقربه	عقربه	1
اقزايش	افزايش	1
اقزوده	افزوده	1
اقغانستان	افغانستان	1
اقفان	افقان	3
اقلب	اغلب	1
اقليتاي	اقليتهاي	1
اكادميها	آكادميها	1
اكترونيكي	الكترونيكي	1
اكتريكي	الكتريكي	1
اكس	آكس	1
اكنئون	اكنون	1
اكنوم	اكنون	1
اكوا	اكوها	1
اكوستيك	آكوستيك	1
ال	آل	1
الحقي	الحاقي	1
الختيار	اختيار	1
الدكر	الذكر	1
الرام	الزام	1
الكتريكیي	الكتريكی	1
الكنرونيكي	الكترونيكي	1
الل	الله	1
اللكتروني	الكتروني	1
اللكنتروني	اللكتروني	1
اللهدارد	الله دارد	2
المان	آلمان	1
الماني	آلماني	1
الملللي	المللي	1
المیه	علمیه	1
الني	علني	1
الوين	اولين	3
الکو	الگو	1
الگئي	الگوي	1
اما مزمان	امام زمان	0
امازماني	اما زماني	2
امامذاده	امامزاده	1
امتاد	امتداد	1
امتدادو	امتداد	2
امد	آمد	1
امده	آمده	1
امدي	عمدي	1
امرروز	امروز	1
امرشكستن	امر شكستن	2
امز	امر	1
امزوزه	امروزه	1
امصاء	امضاء	1
امصاي	امضاي	1
امظاء	امضاء	1
امفي	آمفي	1
امكا	"	1
امكانپذيري	امكان پذيري	2
امكن	امكان	1
املگرهاي	عملگرهاي	1
امما	اما	1
امنبيت	امنيت	1
امنداد	امتداد	1
امنيازات	امتيازات	1
امنيني	امنيتي	1
امنیيت	امنيت	1
امواجصوتي	امواج صوتي	2
امواح	امواج	1
امورخارجه	امور خارجه	2
اموزش	آموزش	1
اموزشي	آموزشي	1
اميت	امنيت	1
اميدور	اميدوار	1
امينو	آمينو	1
امپراتري	امپراتوري	1
امپراتووري	امپراتوري	1
امپچدانس	امپدانس	1
امپیک	المپیک	1
امچراتوري	امپراتوري	1
امیرالمومنان	اميرالمومنين	0
امیرلمنین	امیرالمومنین	0
امیق	عمیق	1
ان	آن	1
اناتوميك	آناتوميك	1
اناق	اتاق	1
انان	آنان	1
انبوده	انبوه	1
انبیاشته	انباشته	1
انتاي	انتهاي	1
انتتقال	انتقال	1
انتخا	انتخاب	1
انتخلبي	انتخابي	1
انتشاراين	انتشار اين	2
انتضار	انتظار	1
انتطارات	انتظارات	1
انتقاداات	انتقادات	1
انتنشار	انتشار	1
انتهي	انتهاي	1
انجا	آنجا	1
انجامداده	انجام داده	2
انجامشده	انجام شده	2
انجان	انجام	1
انجايي	آنجايي	1
انجبنابراين	انجامد بنابراين	0
انجم	انجام	1
انجنام	انجام	1
انحمن	انجمن	1
انخاب	انتخاب	1
انخاذ	اتخاذ	1
انداجتن	انداختن	1
انداره	اندازه	1
انداريم	اندازيم	1
اندزه	اندازه	1
اندزون	اندرون	1
اندلزه	اندازه	1
اندهزه گيري	اندازه گيري	0
اندولزي	اندونزي	1
اندومی	انبوهی	0
انرزي	انرژي	1
انرژ ي	انرژي	0
انسار	انصار	1
انسانیي	انساني	1
انست	آنست	1
انشجام	انسجام	1
انطور	آنطور	1
انعطاف‌پزيري	انعطاف‌پذيري	1
انغباضي	انقباضي	1
انفلاب	انقلاب	1
انفوذي	نفوذي	1
انقباص	انقباض	1
انقباظ	انقباض	1
انقدر	آنقدر	1
انقلابیيون	انقلابیون	1
انقلای	انقلاب	1
انكارا	آنكارا	1
انموال	اموال	1
انمود	وانمود	1
اننتخابها	انتخابها	1
انها	آنها	1
انهراف	انحراف	1
انواج	امواج	1
انور	امور	1
انوماتيك	اتوماتيك	1
اني	آنی	1
اني گاه	آنگاه	0
انچام	انجام	1
انچه	آنچه	1
انژري	انرژي	3
انکاري	انگاري	1
انکليسي	انگليسي	1
انگلتستان	انگلستان	1
انگوشتش	انگشتش	1
انگيره	انگيزه	1
انی	آنی	1
انیوده	انبوده	1
اهاداف	اهداف	1
اهال	اهل	1
اهدف	اهداف	1
اهمميت	اهميت	1
اهميتمنطقه‌اي	اهميت منطقه‌اي	2
اهميمت	اهميت	1
اهمين	اهميت	1
اهن	آهن	1
اهنیت	اهمیت	1
اهیميت	اهميت	1
اواقب	عواقب	1
اوال	اموال	1
اوايه	اوليه	1
اوحام	اوهام	1
اوح‌گيري	اوج‌گيري	1
اورااق	اوراق	1
اورد	آورد	1
اوردن	اردن	1
اورند	آورند	1
اوروپا	اروپا	1
اوري	آوري	1
اوز	ارز	1
اوزمان	او زمان	2
اوصحبت	او صحبت	2
اوضاغ	اوضاع	1
اوفتد	افتد	1
اولبنظر	اول بنظر	2
اولگو	الگو	1
اولیيه	اوليه	1
اويال	اوايل	3
اويدئو	ویدئو	1
اوپگ	اوپک	1
ايئرادي	ايرادي	1
ايا	آيا	1
ايت	است	1
ايت	اين	1
ايتنرنت	اينترنت	3
ايتنكه	اينكه	1
ايتگونه	اينگونه	1
ايجا	ايجاد	1
ايجادشده	ايجاد شده	2
ايجادكندة	ايجادكنندة	1
ايجادمانع	ايجاد مانع	2
ايحاد	ايجاد	1
ايحجاد	ايجاد	1
ايخاد	ايجاد	1
ايستگههايي	ايستگاههايي	1
ايف	این	1
ايكن	آيكن	1
ايكه	اينكه	1
ايكون	آيكون	1
ايلالات	ايالات	1
ايلیي	ايلی	1
ايناست	اين است	2
اينتررنت	اينترنت	1
اينجنانب	اينجانب	1
ايند	آيند	1
اينده	آينده	1
اينرابطه	اين رابطه	2
اينزمان	اين زمان	2
اينصورتمنظره	اينصورت منظره	2
اينكار	اين كار	2
اينكع	اينكه	1
اينه	آينه	1
اينيت	عینیت	1
اينگه	اينکه	1
اپارتمان	آپارتمان	1
اچار	آچار	1
اکر	اگر	1
اکسبد	اکسید	1
اکسیدی	اکسید	1
اکه	اگه	1
اگاهيد	آگاهيد	1
اگوست	آگوست	1
اگوها	اکوها	1
ایت	است	1
ایتفاده	استفاده	1
ایتگاه	ایستگاه	1
ایزار	ابزار	1
ایعاد	ابعاد	1
ایلم	ایام	1
ب	به	1
بئود	بود	1
با رنگاه	بار نگاه	0
با سن	باسن	0
با يد	بايد	0
باآن	با آن	2
بااتر	بالاتر	1
بااستفاده	با استفاده	2
بااصولي‌ترين	با اصولي‌ترين	2
باانجام	با انجام	2
بابار	با بار	2
بابد	باید	1
بابراين	بنابراين	1
باتوجه	با توجه	2
باحذف	با حذف	2
باحضرت	با حضرت	2
بادر	با در	2
بادرآمد	با درآمد	2
بادست	با دست	2
بادور	با دور	2
باذرگاني	بازرگاني	1
باراز	بازار	0
باراي	براي	1
باربا	بار با	2
باربودجه	بار بودجه	2
بارتوسط	بار توسط	2
بارداشتگاه	بازداشتگاه	1
بارديدهاي	بازديدهاي	1
بارديگر	بار ديگر	2
باركه	بار كه	2
بارموجب	بار موجب	2
بارمی	بار مي	2
بارنگري	بازنگري	1
بارنگي	با رنگي	2
بارگرمايي	بار گرمايي	2
بازبابي	بازیابي	1
بازدذهي	بازدهي	1
بازرکان	بازرگان	1
بازكردن	باز كردن	2
بازمي	باز مي	2
بازمين	با زمين	2
بازنموده	باز نموده	2
باسد	باشد	1
باسوء	با سوء	1
باسيد	باشيد	1
باسید	باشید	1
باشبم	باشیم	1
باشتد	باشند	1
باشتند	باشند	1
باشدكه	باشد كه	2
باشذ	باشد	1
باشركت	با شركت	2
باشن	باشند	1
باشنند	باشند	1
باصلح	با صلح	2
باعص	باعث	1
باعقايد	با عقايد	2
باغ چه	باغچه	0
باغث	باعث	1
بافشارهاي	با فشارهاي	2
باقيبمانند	باقي بمانند	2
باكه	بلكه	1
بالابردن	بالا بردن	2
بالاتراز	بالاتر از	2
بالانر	بالاتر	1
بالايیي	بالايي	1
باللاتر	بالاتر	1
بالندي	بلندي	1
بامتر	با متر	2
بامحل	با محل	2
بانام	با نام	2
بانكخها	بانكها	1
بانگى	بانکى	1
باهم	با هم	2
باهمه	با همه	2
باور م	باورم	0
باورنكردني	باور نكردني	2
باوسايل	با وسايل	2
باي	بار	1
باي	براي	1
بايبد	بايد	1
بايبستي	بايستي	1
بايداز	بايد از	2
بايداين	بايد اين	2
بايددانست	بايد دانست	2
بايدكاشيكاري	بايد كاشيكاري	2
بايدكاملا	بايد كاملا	2
بايسنتي	بايستي	1
باپايان	با پايان	2
باچشم	با چشم	2
باچهيچيك	با هيچ يك	0
باکنویس	پاکنویس	1
ببا	با	1
ببديد	ببنديد	1
ببرند	ببرد	1
ببزرگ	بزرگ	1
ببسته	بسته	1
ببشرح	بشرح	1
ببه	به	1
ببيشتر	بيشتر	1
ببين	بين	1
ببيني	بيني	1
ببینند	ببیند	1
بجراني	بحراني	1
بجه	بچه	1
بحارن	بحران	3
بحاي	بجاي	1
بحترين	بهترين	1
بحراتي	بحراني	1
بحرارن	بحران	1
بحرمند	بهره مند	0
بحرنان	بحران	1
بحشد	بخشد	1
بحص	بحث	1
بحه اي	بچه اي	1
بحينه	بهينه	1
بخ	به	1
بخابانيد	بخوابانيد	1
بخانيد	بخوانيد	1
بخاهند	بخواهند	1
بخث	بحث	1
بخد	بخود	1
بخشخهايي	بخشهايي	1
بخطر	بخاطر	1
بخواتر	به خاطر	0
بخواترش	بخاطرش	0
بخواد	بخواهد	1
بخواهبد	بخواهید	1
بخي	برخي	1
بخيدن	بخشيدن	1
بدبو	بد بو	2
بدد	بدهد	1
بدرسنتي	بدرستي	1
بدز	بعد از	0
بدستآورند	بدست آورند	2
بدلديل	بدليل	1
بدنبی	بدنی	1
بدهس	بدهی	1
بدوجه	بودجه	3
بدونه	بدون	1
بديلبي	بديلي	1
بذتر	بدتر	1
بذر ي	بذري	0
بذه	بده	1
بذور	بدور	1
بذين	بدين	1
بر اي	براي	0
بر رسي	بررسي	0
بر سد	برسد	0
بر نامه	برنامه	0
برآن	بر آن	2
برا	برای	1
برا در	برادر	0
برا ي	براي	0
برا يمماس	براي مماس	2
برابت	برایت	1
برار	برابر	1
برارندگي	بارندگي	1
براری	برای	1
برازسازي	بازسازي	1
براساس	بر اساس	2
براش	برایش	1
براو	بر او	2
براياما	براي امام	0
برايدادن	براي دادن	2
برايكاربر	براي كاربر	2
براين	بر اين	2
براينده	برآينده	1
برایر	برابر	1
برایي	برای	1
بربرگها	بر برگها	2
برتامه	برنامه	1
برجسته‌سارزي	برجسته‌سازي	1
برحخي	برخي	1
برحسته	برجسته	1
برحي	برخي	1
برخاستهايد	برخاسته ايد	2
برخاهيد	برخواهيد	1
برخودار	برخوردار	1
برخورداراست	برخوردار است	2
برخىون	برخی	0
برد اشته	برداشته	0
برداشته‏ين	برداشته ا‏ين	0
بردده	برده	1
بردشت	برداشت	1
بردهاست	برده است	2
بردوستي	بر دوستي	2
بررشي	بررسي	1
برروابط	بر روابط	2
برروي	بر روي	2
برسر	بر سر	2
برسي	بررسي	1
برسياست	بر سياست	2
برسی	بررسی	1
برضد	بر ضد	2
برفراري	برقراري	1
برقاري	برقراري	1
برمال	بر مال	0
برمبناي	بر مبناي	2
برمي	بر مي	2
برمي	بریم	3
برنامهاي	برنامه اي	2
برنامهريزي	برنامه ريزي	2
برنامه‌زيزي	برنامه‌ريزي	1
برنانه	برنامه	1
برنمه	برنامه	1
برهمين	بر همين	2
برهنر	بر هنر	2
بروزر	بروز	1
بروسه	پروسه	1
بري	بري	3
بريا	براي	3
بريا	برای	3
بريك	بر يك	2
برپايیي	برپايی	1
برچسته	برجسته	1
برکهاي	برگهاي	1
برگترين	بزرگترين	1
برگذیده	برگزیده	1
برگرردد	برگردد	1
برگزااري	برگزاري	1
برگزيیده	برگزیده	1
بریگی	بریدگی	1
بزا	باز	3
بزاديد	بازديد	3
بزرزگتر	بزرگتر	1
بزرک	بزرگ	1
بزرکي	بزرگي	1
بزرگار	بزرگوار	1
بزش	برش	1
بزق	برق	1
بزوم	لزوم	1
بزگ	بزرگ	1
بزگزاري	برگزاري	1
بسار	بسیار	1
بسازبم	بسازیم	1
بسان	باسن	3
بساير	بسیار	3
بسبار	بسیار	1
بسته‌ه	بسته ها	0
بستکي	بستگي	1
بسر	بشر	1
بسنگي	بستگي	1
بسيارايمن‌تر	بسيار ايمن‌تر	2
بسيارموفق	بسيار موفق	2
بسياي	بسياري	1
بسيله	بوسيله	1
بشاد	باشد	3
بشتري	بستري	1
بشتگي	بستگي	1
بشد	باشد	1
بشزي	بشري	1
بشسته	نشسته	1
بشيد	باشيد	1
بشکسید	بشکستند	0
بصرت	بصورت	1
بصط	بسط	1
بصوت	بصورت	1
بطو	بطور	1
بطوز	بطور	1
بع	به	1
بعبود	بهبود	1
بعد ايك	بعدا يك	0
بعداد	بغداد	1
بعدن	بعدا	1
بعده	بعدا	1
بعره‌برداري	بهره‌برداري	1
بعصي	بعضي	1
بعه	بعد	1
بعوان	بعنوان	1
بغد	بعد	1
بفايا	بقايا	1
بفبرستيد	بفرستيد	1
بفرسند	بفرستد	1
بفمهمد	بفهمد	1
بق	برق	1
بقاع	بقا	1
بك	یك	1
بكاربرد	بكار برد	2
بكارگيریي	بكارگيري	1
بكشبد	بكشید	1
بكولي	بكلي	1
بكي	یكي	1
بل	با	1
بلاتر	بالاتر	1
بلاجهت	بلا جهت	2
بلاوارث	بلا وارث	2
بلاوك	بلوك	1
بلايي	بالايي	1
بلاگ	بلاک	1
بلرو	بلور	3
بلز	باز	1
بلعكس	بالعكس	1
بلكو	بلوك	3
بلمكه	بلكه	1
بلندمدت	بلند مدت	2
بلوروي	بلوري	1
بمار	بیمار	1
بماري	بیماري	1
بمتر	بهتر	1
بن گریم	بنگریم	0
بنابراني	بنابراین	1
بنابراينو	بنابراين	1
بنابرين	بنابراين	1
بنادگرايي	بنیادگرايي	1
بنالراين	بنابراين	1
بندزتركمن	بندرتركمن	1
بنذي	بندي	1
بنذگانم	بندگانم	1
بنش	بینش	1
بنوان	بتوان	1
بنوان	بعنوان	1
بنونم	بتونم	1
بنيادگزايي	بنيادگرايي	1
بنيانگذازي	بنيانگذاري	1
بنگرییم	بنگریم	1
به بود	بهبود	2
به ت	بهت	0
به نمايد	بنمايد	0
به پرستید	بپرستید	0
به کشد	بکشد	2
